"","shrimp","almonds","avocado","vegetables mix","green grapes","whole weat flour","yams","cottage cheese","energy drink","tomato juice","low fat yogurt","green tea","honey","salad","mineral water","salmon","antioxydant juice","frozen smoothie","spinach","olive oil"
"1","burgers","meatballs","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","chutney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","turkey","avocado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","mineral water","milk","energy bar","whole wheat rice","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","whole wheat pasta","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","soup","light cream","shallot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","frozen vegetables","spaghetti","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","eggs","pet food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","turkey","burgers","mineral water","eggs","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","spaghetti","champagne","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","mineral water","salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","shrimp","chocolate","chicken","honey","oil","cooking oil","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","turkey","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","turkey","fresh tuna","tomatoes","spaghetti","mineral water","black tea","salmon","eggs","chicken","extra dark chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","meatballs","milk","honey","french fries","protein bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","red wine","shrimp","pasta","pepper","eggs","chocolate","shampoo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","rice","sparkling water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","spaghetti","mineral water","ham","body spray","pancakes","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","burgers","grated cheese","shrimp","pasta","avocado","honey","white wine","toothpaste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","parmesan cheese","spaghetti","soup","avocado","milk","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ground beef","spaghetti","mineral water","milk","energy bar","black tea","salmon","frozen smoothie","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","sparkling water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","mineral water","eggs","chicken","chocolate","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","frozen vegetables","spaghetti","yams","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","herb & pepper","tomato sauce","light cream","magazines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","mineral water","chocolate","avocado","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","turkey","french fries","strawberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","frozen vegetables","strong cheese","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","pickles","spaghetti","salmon","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","energy bar","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","red wine","ground beef","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","mineral water","cake","cottage cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","pickles","champagne","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","fresh tuna","frozen vegetables","spaghetti","mineral water","honey","whole wheat rice","frozen smoothie","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","soup","meatballs","hot dogs","sparkling water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","soup","avocado","french fries","hot dogs","brownies","body spray","pancakes","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","mineral water","chicken","cereals","clothes accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","mineral water","bug spray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","avocado","muffins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","burgers","black tea","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","spaghetti","chocolate","brownies","white wine","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","fresh tuna","mineral water","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","spaghetti","muffins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","spaghetti","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","french fries","escalope","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","tomato sauce","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","turkey","fresh tuna","frozen vegetables","tomatoes","ground beef","spaghetti","mineral water","chocolate","soup","milk","olive oil",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","eggs","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","soup","chicken","gums","soda","body spray","energy drink","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","turkey","frozen vegetables","mineral water","cider","cooking oil","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","clothes accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","energy drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","soup","bug spray","shallot","protein bar","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","turkey","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","chocolate","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","herb & pepper","whole wheat pasta","ground beef","mineral water","avocado","cider","whole wheat rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","shrimp","pasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","grated cheese","herb & pepper","tomatoes","tomato sauce","corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","burgers","escalope","shallot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","soup","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","mineral water","chocolate","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","eggs","strawberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","grated cheese","ground beef","spaghetti","mineral water","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","eggs","cake","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","burgers","spaghetti","milk","french fries","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","mineral water","energy bar","butter","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","burgers","grated cheese","herb & pepper","mineral water","eggs","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","energy bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","energy bar","energy drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","chocolate","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","asparagus","salad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","burgers","french fries","low fat yogurt","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","burgers","herb & pepper","shrimp","pasta","spaghetti","mineral water","meatballs","olive oil","energy bar","french wine","eggs","salt",NA,NA,NA,NA,NA,NA,NA,NA
"92","champagne","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","burgers","almonds","eggs","french fries","cookies","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","ham","soup","escalope","body spray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","turkey","ham","frozen vegetables","pepper","oil","extra dark chocolate","tea","magazines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","muffins","eggs","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","frozen vegetables","whole wheat pasta","ground beef","spaghetti","chocolate","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","mineral water","barbecue sauce","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","burgers","herb & pepper","energy bar","almonds","eggs","corn","mayonnaise","zucchini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","turkey","burgers","ground beef","chocolate","soup","almonds","eggs","hot dogs","cottage cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","ham","spaghetti","chocolate","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","ground beef","energy bar","pet food","carrots","protein bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","ground beef","tomato sauce","spaghetti","mineral water","almonds","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","mineral water","olive oil","gums","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","shrimp","pasta","mineral water","soup","avocado","milk","olive oil","green grapes","eggs","bug spray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","shrimp","pasta","soup","cake","cooking oil","chicken","light mayo","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","spaghetti","mineral water","chocolate","french fries","champagne","escalope","mushroom cream sauce","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","shrimp","pasta","mineral water","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","burgers","oil","tomato juice","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","french wine","eggs","chocolate","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
